city	date	avgTemp	minTemp	maxTemp
240	20150101	35	9	55
240	20150102	76	52	106
240	20150103	46	31	66
240	20150104	35	-9	79
240	20150105	29	0	39
240	20150106	32	7	68
240	20150107	42	11	73
240	20150108	68	42	87
240	20150109	98	59	124
240	20150110	92	52	123
240	20150111	66	49	82
240	20150112	90	77	107
240	20150113	83	52	100
240	20150114	44	21	62
240	20150115	77	50	101
240	20150116	51	20	84
240	20150117	27	-11	63
240	20150118	25	12	36
240	20150119	2	-16	19
240	20150120	6	-16	36
240	20150121	-3	-30	16
240	20150122	-8	-28	13
