Country	Life Expectancy	Well-being (0-10)	Ecological Footprint	Happy Planet Index	Population
Slovakia	75,4	6,1	4,66	40,1	5430000
Slovenia	79,3	6,1	5,21	40,2	2049000
South Africa	52,8	4,7	2,59	28,2	49991000
Spain	81,4	6,2	4,74	44,1	46071000
Sri Lanka	74,9	4,2	1,21	49,4	20860000
Sudan	61,5	4,4	1,63	37,6	43552000
Sweden	81,4	7,5	5,71	46,2	9378000
Switzerland	82,3	7,5	5,01	50,3	7826000
Syrian Arab Republic	75,9	4,1	1,45	47,1	20447000
Tajikistan	67,5	4,4	0,90	47,8	6879000
United Republic of Tanzania	58,2	3,2	1,19	30,7	44841000
Thailand	74,1	6,2	2,41	53,5	69122000
Togo	57,1	2,8	1,03	28,2	6028000
Trinidad and Tobago	70,1	6,7	7,56	30,3	1341000
Tunisia	74,5	4,7	1,76	48,3	10549000
Turkey	74,0	5,5	2,55	47,6	72752000
Turkmenistan	65,0	6,6	3,98	39,1	5042000
Uganda	54,1	4,2	1,57	31,5	33424000
Ukraine	68,5	5,1	3,19	37,6	45871000
United Arab Emirates	76,5	7,2	8,88	31,8	7512000
United Kingdom	80,2	7,0	4,71	47,9	62232000
United States	78,5	7,2	7,19	37,3	309349000
Uruguay	77,0	6,1	5,08	39,3	3357000
Uzbekistan	68,3	5,1	1,82	46,0	28228000
Venezuela	74,4	7,5	3,02	56,9	28834000
Vietnam	75,2	5,8	1,39	60,4	86928000
Yemen	65,5	3,9	0,87	43,0	24053000
Zambia	49,0	5,3	0,84	37,7	12927000
Zimbabwe	51,4	4,8	1,17	35,3	12571000
